pasillo,lado,estanteria,anaquel,x0,y0,x1,y1
,A,1,1,0.04,0.04,0.216,0.088125
,A,1,2,0.226,0.04,0.402,0.088125
,A,1,3,0.412,0.04,0.588,0.088125
,A,1,4,0.598,0.04,0.774,0.088125
,A,1,5,0.784,0.04,0.96,0.088125
,A,2,1,0.04,0.098125,0.216,0.14625
,A,2,2,0.226,0.098125,0.402,0.14625
,A,2,3,0.412,0.098125,0.588,0.14625
,A,2,4,0.598,0.098125,0.774,0.14625
,A,2,5,0.784,0.098125,0.96,0.14625
,A,3,1,0.04,0.15625,0.216,0.204375
,A,3,2,0.226,0.15625,0.402,0.204375
,A,3,3,0.412,0.15625,0.588,0.204375
,A,3,4,0.598,0.15625,0.774,0.204375
,A,3,5,0.784,0.15625,0.96,0.204375
,A,4,1,0.04,0.214375,0.216,0.2625
,A,4,2,0.226,0.214375,0.402,0.2625
,A,4,3,0.412,0.214375,0.588,0.2625
,A,4,4,0.598,0.214375,0.774,0.2625
,A,4,5,0.784,0.214375,0.96,0.2625
,A,5,1,0.04,0.2725,0.216,0.320625
,A,5,2,0.226,0.2725,0.402,0.320625
,A,5,3,0.412,0.2725,0.588,0.320625
,A,5,4,0.598,0.2725,0.774,0.320625
,A,5,5,0.784,0.2725,0.96,0.320625
,A,6,1,0.04,0.330625,0.216,0.37875
,A,6,2,0.226,0.330625,0.402,0.37875
,A,6,3,0.412,0.330625,0.588,0.37875
,A,6,4,0.598,0.330625,0.774,0.37875
,A,6,5,0.784,0.330625,0.96,0.37875
,A,7,1,0.04,0.38875,0.216,0.436875
,A,7,2,0.226,0.38875,0.402,0.436875
,A,7,3,0.412,0.38875,0.588,0.436875
,A,7,4,0.598,0.38875,0.774,0.436875
,A,7,5,0.784,0.38875,0.96,0.436875
,A,8,1,0.04,0.446875,0.216,0.495
,A,8,2,0.226,0.446875,0.402,0.495
,A,8,3,0.412,0.446875,0.588,0.495
,A,8,4,0.598,0.446875,0.774,0.495
,A,8,5,0.784,0.446875,0.96,0.495
,A,9,1,0.04,0.505,0.216,0.553125
,A,9,2,0.226,0.505,0.402,0.553125
,A,9,3,0.412,0.505,0.588,0.553125
,A,9,4,0.598,0.505,0.774,0.553125
,A,9,5,0.784,0.505,0.96,0.553125
,A,10,1,0.04,0.563125,0.216,0.61125
,A,10,2,0.226,0.563125,0.402,0.61125
,A,10,3,0.412,0.563125,0.588,0.61125
,A,10,4,0.598,0.563125,0.774,0.61125
,A,10,5,0.784,0.563125,0.96,0.61125
,A,11,1,0.04,0.62125,0.216,0.669375
,A,11,2,0.226,0.62125,0.402,0.669375
,A,11,3,0.412,0.62125,0.588,0.669375
,A,11,4,0.598,0.62125,0.774,0.669375
,A,11,5,0.784,0.62125,0.96,0.669375
,A,12,1,0.04,0.679375,0.216,0.7275
,A,12,2,0.226,0.679375,0.402,0.7275
,A,12,3,0.412,0.679375,0.588,0.7275
,A,12,4,0.598,0.679375,0.774,0.7275
,A,12,5,0.784,0.679375,0.96,0.7275
,A,13,1,0.04,0.7375,0.216,0.785625
,A,13,2,0.226,0.7375,0.402,0.785625
,A,13,3,0.412,0.7375,0.588,0.785625
,A,13,4,0.598,0.7375,0.774,0.785625
,A,13,5,0.784,0.7375,0.96,0.785625
,A,14,1,0.04,0.795625,0.216,0.84375
,A,14,2,0.226,0.795625,0.402,0.84375
,A,14,3,0.412,0.795625,0.588,0.84375
,A,14,4,0.598,0.795625,0.774,0.84375
,A,14,5,0.784,0.795625,0.96,0.84375
,A,15,1,0.04,0.85375,0.216,0.901875
,A,15,2,0.226,0.85375,0.402,0.901875
,A,15,3,0.412,0.85375,0.588,0.901875
,A,15,4,0.598,0.85375,0.774,0.901875
,A,15,5,0.784,0.85375,0.96,0.901875
,A,16,1,0.04,0.911875,0.216,0.96
,A,16,2,0.226,0.911875,0.402,0.96
,A,16,3,0.412,0.911875,0.588,0.96
,A,16,4,0.598,0.911875,0.774,0.96
,A,16,5,0.784,0.911875,0.96,0.96
